procs,threads,cols,evos,runtime
6,36,25000,50,1.456881
6,37,25000,50,1.738348
6,38,25000,50,1.426694
6,39,25000,50,1.685303
6,40,25000,50,1.359066
6,41,25000,50,1.392695
6,42,25000,50,1.396072
6,43,25000,50,1.335645
6,44,25000,50,1.306083
6,45,25000,50,1.241139
6,46,25000,50,1.211051
6,47,25000,50,1.181015
6,48,25000,50,1.209266
6,49,25000,50,1.179622
6,50,25000,50,1.327094
6,51,25000,50,1.230675
6,52,25000,50,1.175824
6,53,25000,50,1.075948
6,54,25000,50,1.120898
6,55,25000,50,1.091122
6,56,25000,50,1.060640
6,57,25000,50,1.100535
6,58,25000,50,0.999162
6,59,25000,50,0.985569
6,60,25000,50,1.059323
6,61,25000,50,1.039440
6,62,25000,50,1.217064
6,63,25000,50,0.990679
6,64,25000,50,1.049793
6,1,25000,50,42.203777
6,2,25000,50,22.137324
6,3,25000,50,14.607375
6,4,25000,50,11.116621
6,5,25000,50,9.032836
6,6,25000,50,7.487890
6,7,25000,50,6.607925
6,8,25000,50,5.881731
6,9,25000,50,5.117369
6,10,25000,50,4.601448
6,11,25000,50,4.218219
6,12,25000,50,3.928935
6,13,25000,50,3.882815
6,14,25000,50,3.665509
6,15,25000,50,3.371195
6,16,25000,50,3.823249
6,17,25000,50,2.995920
6,18,25000,50,2.742226
6,19,25000,50,2.559337
6,20,25000,50,2.541595
6,21,25000,50,2.356532
6,22,25000,50,2.299279
6,23,25000,50,2.152273
6,24,25000,50,2.058931
6,25,25000,50,1.968784
6,26,25000,50,1.946037
6,27,25000,50,2.213901
6,28,25000,50,1.836992
6,29,25000,50,2.031981
6,30,25000,50,1.722034
6,31,25000,50,1.958577
6,32,25000,50,1.964134
6,33,25000,50,1.741377
6,34,25000,50,1.672820
6,35,25000,50,1.513626
6,36,25000,50,1.721931
6,37,25000,50,1.563078
6,38,25000,50,1.567982
6,39,25000,50,1.395510
6,40,25000,50,1.340633
6,41,25000,50,1.351071
6,42,25000,50,1.361006
6,43,25000,50,1.355990
6,44,25000,50,1.379039
6,45,25000,50,1.244011
6,46,25000,50,1.290162
6,47,25000,50,1.427690
6,48,25000,50,1.294908
6,49,25000,50,1.172626
6,50,25000,50,1.150542
6,51,25000,50,1.207331
6,52,25000,50,1.089576
6,53,25000,50,1.233336
6,54,25000,50,1.135670
6,55,25000,50,1.127680
6,56,25000,50,1.033663
6,57,25000,50,1.044055
6,58,25000,50,1.074671
6,59,25000,50,1.009069
6,60,25000,50,0.993314
6,61,25000,50,1.051895
6,62,25000,50,1.021369
6,63,25000,50,0.967668
6,64,25000,50,0.954969
